202,75
449,63
605,68
696,60
1077,66
1197,65
1321,71
157,132
251,134
526,132
601,145
659,139
759,130
876,104
990,95
1103,132
1308,168
98,176
185,186
302,165
418,211
604,227
693,186
831,184
893,203
981,129
1001,186
1043,167
1199,195
1352,186
136,216
266,253
363,236
532,255
633,280
671,288
729,229
863,241
922,226
1021,264
1067,246
1312,252
76,273
207,295
301,315
383,290
448,275
554,325
703,326
759,284
889,292
956,271
1031,318
1085,301
1200,300
1357,312
116,320
242,335
268,367
320,363
408,372
452,359
564,414
630,401
703,390
743,379
814,366
907,344
989,342
1088,354
1187,355
1286,364
114,375
163,428
226,409
303,408
359,445
424,441
474,433
582,453
672,472
707,445
792,434
858,405
908,384
1003,422
1099,441
1142,454
1177,419
1242,425
1340,425
80,469
84,507
164,493
204,487
398,510
445,500
498,480
554,489
644,517
737,480
849,438
923,426
1003,466
1215,480
1301,498
1359,498
307,607
466,580
529,522
562,573
594,551
682,551
744,531
842,503
1000,558
1107,599
1191,575
1328,645
73,678
120,681
186,675
351,675
451,653
618,595
792,569
909,600
1001,625
1097,636
595,657
640,627
742,623
858,675
945,651
1141,670
1297,728
296,729
478,696
584,701
736,684
893,698
1002,716
1100,711
87,796
136,793
203,787
252,779
316,765
372,757
438,740
470,773
510,739
539,773
650,748
687,795
760,793
821,803
928,759
1066,781
1143,800
1231,788
1357,788
191,825
264,825
389,841
519,814
620,837
660,861
758,848
814,857
933,903
1029,850
1168,893
1284,861
1345,907
67,891
121,876
223,869
340,880
408,894
478,873
520,889
588,854
711,902
788,955
871,942
997,914
1119,917
123,973
187,1002
261,941
279,1023
463,944
481,978
537,974
619,925
631,977
922,1024
1129,1024
1209,1006
